"Total Registered Voters by Status
as of 00:17 on 11/01/2024"         ,            ,            ,              ,         ,             ,                           ,          ,          ,              ,         ,               ,                      ,         ,         ,              ,    ,             ,            ,            , , , , , , , , , ,
Active Registered Voters           ,            ,            ,              ,         ,             ,Inactive Registered Voters ,          ,          ,              ,         ,               ,Pre-registered Voters ,         ,         ,              ,    ,             ,Total       ,            , , , , , , , , , ,
County                             ,Female      ,Male        ,Not Disclosed ,X        ,Active Total ,County                     ,Female    ,Male      ,Not Disclosed ,X        ,Inactive Total ,County                ,Female   ,Male     ,Not Disclosed ,X   ,Prereg Total ,County      ,Grand Total , , , , , , , , , ,
Douglas                            ,"145,901"   ,"139,676"   ,840           ,751      ,"287,168"    ,Douglas                    ,"13,465"  ,"13,617"  ,6             ,317      ,"27,405"       ,Douglas               ,"3,184"  ,"3,289"  ,4             ,16  ,"6,493"      ,Douglas     ,"321,066"   , , , , , , , , , ,
Eagle                              ,"16,786"    ,"18,033"    ,159           ,213      ,"35,191"     ,Eagle                      ,"1,989"   ,"2,524"   ,3             ,124      ,"4,640"        ,Eagle                 ,312      ,333      ,1             ,1   ,647          ,Eagle       ,"40,478"    , , , , , , , , , ,
El Paso                            ,"250,771"   ,"240,166"   ,"1,752"       ,"2,090"  ,"494,779"    ,El Paso                    ,"42,547"  ,"43,690"  ,27            ,"2,049"  ,"88,313"       ,El Paso               ,"4,173"  ,"4,470"  ,64            ,46  ,"8,753"      ,El Paso     ,"591,845"   , , , , , , , , , ,
Elbert                             ,"11,837"    ,"11,888"    ,49            ,34       ,"23,808"     ,Elbert                     ,"1,120"   ,"1,204"   ,0             ,8        ,"2,332"        ,Elbert                ,196      ,226      ,0             ,0   ,422          ,Elbert      ,"26,562"    , , , , , , , , , ,
Fremont                            ,"16,092"    ,"15,677"    ,88            ,67       ,"31,924"     ,Fremont                    ,"1,778"   ,"1,806"   ,0             ,41       ,"3,625"        ,Fremont               ,164      ,200      ,1             ,0   ,365          ,Fremont     ,"35,914"    , , , , , , , , , ,
Garfield                           ,"19,169"    ,"19,159"    ,154           ,113      ,"38,595"     ,Garfield                   ,"2,153"   ,"2,491"   ,0             ,42       ,"4,686"        ,Garfield              ,372      ,392      ,12            ,0   ,776          ,Garfield    ,"44,057"    , , , , , , , , , ,
Gilpin                             ,"2,304"     ,"2,654"     ,20            ,17       ,"4,995"      ,Gilpin                     ,368       ,482       ,0             ,3        ,853            ,Gilpin                ,28       ,29       ,0             ,0   ,57           ,Gilpin      ,"5,905"     , , , , , , , , , ,
Grand                              ,"5,565"     ,"6,554"     ,33            ,30       ,"12,182"     ,Grand                      ,677       ,957       ,0             ,21       ,"1,655"        ,Grand                 ,91       ,106      ,0             ,1   ,198          ,Grand       ,"14,035"    , , , , , , , , , ,
Gunnison                           ,"6,018"     ,"6,730"     ,28            ,28       ,"12,804"     ,Gunnison                   ,986       ,"1,211"   ,2             ,24       ,"2,223"        ,Gunnison              ,91       ,114      ,1             ,0   ,206          ,Gunnison    ,"15,233"    , , , , , , , , , ,
Hinsdale                           ,321         ,370         ,1             ,0        ,692          ,Hinsdale                   ,27        ,33        ,0             ,0        ,60             ,Hinsdale              ,3        ,5        ,0             ,0   ,8            ,Hinsdale    ,760         , , , , , , , , , ,
Huerfano                           ,"2,803"     ,"2,819"     ,10            ,11       ,"5,643"      ,Huerfano                   ,362       ,398       ,0             ,5        ,765            ,Huerfano              ,36       ,24       ,0             ,0   ,60           ,Huerfano    ,"6,468"     , , , , , , , , , ,
Jackson                            ,475         ,526         ,0             ,0        ,"1,001"      ,Jackson                    ,82        ,95        ,0             ,0        ,177            ,Jackson               ,8        ,12       ,0             ,0   ,20           ,Jackson     ,"1,198"     , , , , , , , , , ,
Jefferson                          ,"220,029"   ,"210,972"   ,"1,314"       ,"1,429"  ,"433,744"    ,Jefferson                  ,"20,716"  ,"22,750"  ,7             ,654      ,"44,127"       ,Jefferson             ,"2,836"  ,"3,089"  ,23            ,27  ,"5,975"      ,Jefferson   ,"483,846"   , , , , , , , , , ,
Kiowa                              ,516         ,485         ,3             ,0        ,"1,004"      ,Kiowa                      ,50        ,59        ,0             ,0        ,109            ,Kiowa                 ,13       ,12       ,0             ,0   ,25           ,Kiowa       ,"1,138"     , , , , , , , , , ,
Kit Carson                         ,"2,338"     ,"2,337"     ,13            ,7        ,"4,695"      ,Kit Carson                 ,250       ,298       ,0             ,6        ,554            ,Kit Carson            ,51       ,50       ,1             ,0   ,102          ,Kit Carson  ,"5,351"     , , , , , , , , , ,
La Plata                           ,"21,647"    ,"21,677"    ,164           ,118      ,"43,606"     ,La Plata                   ,"3,931"   ,"4,150"   ,8             ,103      ,"8,192"        ,La Plata              ,335      ,393      ,0             ,1   ,729          ,La Plata    ,"52,527"    , , , , , , , , , ,
Lake                               ,"2,374"     ,"2,797"     ,24            ,9        ,"5,204"      ,Lake                       ,513       ,629       ,0             ,4        ,"1,146"        ,Lake                  ,32       ,43       ,1             ,0   ,76           ,Lake        ,"6,426"     , , , , , , , , , ,
Larimer                            ,"136,860"   ,"129,068"   ,"1,375"       ,"1,495"  ,"268,798"    ,Larimer                    ,"15,684"  ,"17,008"  ,23            ,952      ,"33,667"       ,Larimer               ,"1,975"  ,"2,145"  ,57            ,13  ,"4,190"      ,Larimer     ,"306,655"   , , , , , , , , , ,
Las Animas                         ,"5,204"     ,"5,275"     ,21            ,58       ,"10,558"     ,Las Animas                 ,982       ,"1,086"   ,1             ,42       ,"2,111"        ,Las Animas            ,62       ,70       ,0             ,0   ,132          ,Las Animas  ,"12,801"    , , , , , , , , , ,
