"Total Registered Voters by Party & Status 
as of 00:17 on 11/01/2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active registered voters,,,,,,,,,,,,,Inactive registered voters,,,,,,,,,,,,,Pre-registered voters,,,,,,,,,,,,,All,
County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Active Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Inactive Total,County,ACN,APV,CTR,DEM,FWD,GRN,LBR,NOL,REP,UAF,UNI,Prereg Total,County,Grand Total
Elbert,75,10,10,"2,146",0,28,239,64,"11,140","10,084",12,"23,808",Elbert,7,4,0,195,0,0,21,4,"1,041","1,059",1,"2,332",Elbert,1,0,0,6,0,0,1,11,103,300,0,422,Elbert,"26,562"
Fremont,154,29,11,"4,250",3,63,291,140,"12,392","14,571",20,"31,924",Fremont,22,3,1,414,0,11,56,1,"1,173","1,932",12,"3,625",Fremont,0,0,0,1,0,0,0,1,47,316,0,365,Fremont,"35,914"
Garfield,117,56,30,"8,229",0,110,323,181,"9,634","19,885",30,"38,595",Garfield,33,4,1,791,0,10,65,3,"1,124","2,649",6,"4,686",Garfield,4,0,0,31,0,1,2,17,86,635,0,776,Garfield,"44,057"
Gilpin,14,3,3,"1,248",1,23,54,23,"1,047","2,579",0,"4,995",Gilpin,4,0,0,178,0,5,10,0,182,473,1,853,Gilpin,1,0,0,5,0,0,0,2,8,41,0,57,Gilpin,"5,905"
Grand,33,4,8,"2,263",0,29,140,56,"3,638","6,006",5,"12,182",Grand,6,0,1,249,0,5,20,1,423,948,2,"1,655",Grand,0,0,0,8,0,0,0,0,34,156,0,198,Grand,"14,035"
Gunnison,22,7,9,"3,366",1,51,124,51,"2,367","6,801",5,"12,804",Gunnison,7,3,0,457,0,22,39,0,400,"1,292",3,"2,223",Gunnison,0,0,1,14,0,1,0,1,24,165,0,206,Gunnison,"15,233"
Hinsdale,1,0,0,70,0,1,5,2,309,303,1,692,Hinsdale,0,0,0,1,0,0,1,0,34,24,0,60,Hinsdale,0,0,0,0,0,0,0,0,1,7,0,8,Hinsdale,760
Huerfano,26,5,3,"1,621",0,14,44,39,"1,392","2,496",3,"5,643",Huerfano,6,0,0,141,0,4,6,1,196,409,2,765,Huerfano,0,0,0,0,0,0,0,1,2,57,0,60,Huerfano,"6,468"
Jackson,3,2,0,53,0,0,6,1,601,335,0,"1,001",Jackson,1,0,0,16,0,1,1,0,81,77,0,177,Jackson,0,0,0,0,0,0,0,0,8,12,0,20,Jackson,"1,198"
Jefferson,"1,006",356,373,"119,284",25,887,"4,372","1,818","92,305","212,999",319,"433,744",Jefferson,148,45,9,"10,303",0,138,681,31,"8,527","24,188",57,"44,127",Jefferson,7,5,2,460,0,8,17,138,533,"4,803",2,"5,975",Jefferson,"483,846"
Kiowa,2,0,0,69,0,0,5,1,573,352,2,"1,004",Kiowa,0,0,0,2,0,0,3,0,63,41,0,109,Kiowa,0,0,0,0,0,0,0,0,10,15,0,25,Kiowa,"1,138"
Kit Carson,19,8,5,399,0,3,32,14,"2,537","1,673",5,"4,695",Kit Carson,3,1,0,55,0,2,6,1,205,280,1,554,Kit Carson,0,0,0,2,0,0,0,1,29,70,0,102,Kit Carson,"5,351"
